[2026-06-10 23:25:01] ID: 4103 | Risk: 99.0% | Temp: 103.69°C, Vib: 73.22Hz, Speed: 2229.4 RPM
[2026-06-10 23:25:46] ID: 4147 | Risk: 100.0% | Temp: 101.82°C, Vib: 64.22Hz, Speed: 2392.3 RPM
[2026-06-10 23:26:05] ID: 4166 | Risk: 100.0% | Temp: 100.86°C, Vib: 75.97Hz, Speed: 2298.9 RPM
[2026-06-10 23:26:21] ID: 4183 | Risk: 100.0% | Temp: 92.64°C, Vib: 78.35Hz, Speed: 2680.9 RPM
[2026-06-10 23:26:24] ID: 4185 | Risk: 100.0% | Temp: 100.44°C, Vib: 65.54Hz, Speed: 2323.8 RPM
[2026-06-10 23:26:42] ID: 4203 | Risk: 100.0% | Temp: 99.91°C, Vib: 73.7Hz, Speed: 2614.2 RPM
[2026-06-10 23:26:47] ID: 4208 | Risk: 99.0% | Temp: 95.1°C, Vib: 64.99Hz, Speed: 2674.5 RPM
[2026-06-10 23:27:10] ID: 4231 | Risk: 100.0% | Temp: 104.43°C, Vib: 75.43Hz, Speed: 2314.0 RPM
[2026-06-10 23:27:47] ID: 4267 | Risk: 100.0% | Temp: 95.04°C, Vib: 68.23Hz, Speed: 2482.2 RPM
[2026-06-10 23:28:05] ID: 4285 | Risk: 100.0% | Temp: 97.83°C, Vib: 81.08Hz, Speed: 2379.3 RPM
[2026-06-10 23:28:06] ID: 4286 | Risk: 100.0% | Temp: 96.49°C, Vib: 76.49Hz, Speed: 2360.1 RPM
[2026-06-10 23:28:24] ID: 4304 | Risk: 100.0% | Temp: 98.1°C, Vib: 76.02Hz, Speed: 2645.3 RPM
[2026-06-10 23:28:36] ID: 4316 | Risk: 100.0% | Temp: 102.11°C, Vib: 63.8Hz, Speed: 2400.3 RPM
[2026-06-10 23:28:49] ID: 4328 | Risk: 99.0% | Temp: 94.84°C, Vib: 69.97Hz, Speed: 2370.6 RPM
[2026-06-10 23:29:00] ID: 4339 | Risk: 100.0% | Temp: 96.53°C, Vib: 78.76Hz, Speed: 2385.9 RPM
[2026-06-10 23:29:03] ID: 4342 | Risk: 100.0% | Temp: 102.66°C, Vib: 68.06Hz, Speed: 2417.6 RPM
[2026-06-10 23:29:19] ID: 4358 | Risk: 100.0% | Temp: 93.31°C, Vib: 84.89Hz, Speed: 2365.3 RPM
